production_day,station_id,station_name,defect_rate_pct,z_score,severity
2026-04-21 22:00:00+00:00,8,FRA-AOI-L01-01,10.03,2.2408991363769712,warning
2025-12-03 23:00:00+00:00,8,FRA-AOI-L01-01,7.58,-0.4029908905899915,normal
2025-11-17 23:00:00+00:00,8,FRA-AOI-L01-01,7.79,-0.17637174542139467,normal
2025-12-09 23:00:00+00:00,8,FRA-AOI-L01-01,8.31,0.38478042356751235,normal
2026-04-12 22:00:00+00:00,8,FRA-AOI-L01-01,8.96,1.0862206348036458,normal
2026-03-17 23:00:00+00:00,8,FRA-AOI-L01-01,9.6,1.7768694581746065,normal
2026-05-06 22:00:00+00:00,8,FRA-AOI-L01-01,8.57,0.6653565080619653,normal
2025-12-07 23:00:00+00:00,8,FRA-AOI-L01-01,8.42,0.5034856900843958,normal
2025-12-15 23:00:00+00:00,8,FRA-AOI-L01-01,7.96,0.007081848286517004,normal
2026-01-27 23:00:00+00:00,8,FRA-AOI-L01-01,8.84,0.9567239804215895,normal
2026-02-22 23:00:00+00:00,8,FRA-AOI-L01-01,5.87,-2.24831821553428,normal
2025-11-24 23:00:00+00:00,8,FRA-AOI-L01-01,8.53,0.6221909566012792,normal
2025-11-18 23:00:00+00:00,8,FRA-AOI-L01-01,8.32,0.3955718114326834,normal
2026-02-04 23:00:00+00:00,8,FRA-AOI-L01-01,6.83,-1.2123449804778375,normal
2026-01-05 23:00:00+00:00,8,FRA-AOI-L01-01,8.89,1.0106809197474467,normal
2026-04-15 22:00:00+00:00,8,FRA-AOI-L01-01,7.98,0.028664624016860058,normal
2026-02-10 23:00:00+00:00,8,FRA-AOI-L01-01,7.05,-0.9749344474440695,normal
2026-04-08 22:00:00+00:00,8,FRA-AOI-L01-01,6.96,-1.0720569382306109,normal
2025-12-11 23:00:00+00:00,8,FRA-AOI-L01-01,7.91,-0.0468750910393392,normal
2026-02-12 23:00:00+00:00,8,FRA-AOI-L01-01,8.17,0.23370099345511383,normal
2025-12-24 23:00:00+00:00,8,FRA-AOI-L01-01,7.72,-0.25191146047759394,normal
2026-03-19 23:00:00+00:00,8,FRA-AOI-L01-01,8.11,0.16895266626408562,normal
2026-01-28 23:00:00+00:00,8,FRA-AOI-L01-01,7.99,0.03945601188203111,normal
2026-02-01 23:00:00+00:00,8,FRA-AOI-L01-01,7.57,-0.4137822784551625,normal
2026-01-13 23:00:00+00:00,8,FRA-AOI-L01-01,8.97,1.097012022668817,normal
2026-01-18 23:00:00+00:00,8,FRA-AOI-L01-01,7.6,-0.38140811485964937,normal
2026-04-02 22:00:00+00:00,8,FRA-AOI-L01-01,7.8,-0.1655803575562236,normal
2026-03-15 23:00:00+00:00,8,FRA-AOI-L01-01,7.4,-0.5972358721630742,normal
2026-03-30 22:00:00+00:00,8,FRA-AOI-L01-01,8.45,0.535859853679909,normal
2025-12-02 23:00:00+00:00,8,FRA-AOI-L01-01,7.94,-0.014500927443825095,normal
2026-01-12 23:00:00+00:00,8,FRA-AOI-L01-01,7.6,-0.38140811485964937,normal
2026-04-16 22:00:00+00:00,8,FRA-AOI-L01-01,11.33,3.6437795588492383,critical
2026-04-01 22:00:00+00:00,8,FRA-AOI-L01-01,6.58,-1.4821296771071193,normal
2025-11-30 23:00:00+00:00,8,FRA-AOI-L01-01,7.47,-0.5216961571068759,normal
2026-04-26 22:00:00+00:00,8,FRA-AOI-L01-01,9.02,1.1509689619946721,normal
2026-03-12 23:00:00+00:00,8,FRA-AOI-L01-01,9.19,1.3344225557025837,normal
2026-03-23 23:00:00+00:00,8,FRA-AOI-L01-01,8.07,0.1257871148034014,normal
2026-04-28 22:00:00+00:00,8,FRA-AOI-L01-01,8.4,0.4819029143540537,normal
2026-02-17 23:00:00+00:00,8,FRA-AOI-L01-01,7.46,-0.532487544972047,normal
2026-02-11 23:00:00+00:00,8,FRA-AOI-L01-01,9.05,1.1833431255901872,normal
2025-11-19 23:00:00+00:00,8,FRA-AOI-L01-01,9.05,1.1833431255901872,normal
2026-02-02 23:00:00+00:00,8,FRA-AOI-L01-01,6.31,-1.7734971494667444,normal
2026-01-04 23:00:00+00:00,8,FRA-AOI-L01-01,6.71,-1.341841634859893,normal
2026-03-10 23:00:00+00:00,8,FRA-AOI-L01-01,8.75,0.8596014896350481,normal
2026-04-13 22:00:00+00:00,8,FRA-AOI-L01-01,8.02,0.07183017547754425,normal
2026-04-05 22:00:00+00:00,8,FRA-AOI-L01-01,8.93,1.0538464712081308,normal
2026-01-14 23:00:00+00:00,8,FRA-AOI-L01-01,8.14,0.20132682985960068,normal
2026-02-05 23:00:00+00:00,8,FRA-AOI-L01-01,8.29,0.36319764783716835,normal
2026-03-22 23:00:00+00:00,8,FRA-AOI-L01-01,8.47,0.5574426294102529,normal
2025-11-23 23:00:00+00:00,8,FRA-AOI-L01-01,7.51,-0.47853060564619077,normal
2026-02-09 23:00:00+00:00,8,FRA-AOI-L01-01,7.77,-0.19795452115173773,normal
2026-02-18 23:00:00+00:00,8,FRA-AOI-L01-01,7.25,-0.7591066901406438,normal
2026-04-27 22:00:00+00:00,8,FRA-AOI-L01-01,7.14,-0.8778119566575282,normal
2026-05-10 22:00:00+00:00,8,FRA-AOI-L01-01,7.92,-0.036083703174168154,normal
2025-12-01 23:00:00+00:00,8,FRA-AOI-L01-01,8.79,0.9027670410957322,normal
2026-02-03 23:00:00+00:00,8,FRA-AOI-L01-01,7.12,-0.8993947323878703,normal
2026-03-05 23:00:00+00:00,8,FRA-AOI-L01-01,6.45,-1.6224177193543459,normal
2026-03-25 23:00:00+00:00,8,FRA-AOI-L01-01,7.66,-0.3166597876686212,normal
