production_day,station_id,total_bookings,good_count,fail_count,scrap_count,defect_count,defect_rate_pct,created_at,timestamp,id,station_name,rolling_mean_7d,rolling_mean_3d,rolling_std_7d,previous_day_scrap,defect_trend,downtime_ratio,day_of_week,ma_forecast,es_forecast,ma_error,es_error
2025-11-12 23:00:00+00:00,1,749,693,31,25,56,7.48,2026-05-13 13:23:40.638970+00:00,2026-05-13 13:23:40.638970+00:00,129,SF-SPI-L01-01,,,,,,,2,,,,
2025-11-13 23:00:00+00:00,1,620,577,30,13,43,6.94,2026-05-13 13:23:40.638970+00:00,2026-05-13 13:23:40.638970+00:00,642,SF-SPI-L01-01,,,,7.48,,,3,,,,
2025-11-16 23:00:00+00:00,1,1043,960,49,34,83,7.96,2026-05-13 13:23:40.638970+00:00,2026-05-13 13:23:40.638970+00:00,313,SF-SPI-L01-01,,7.210000000000001,,6.94,,,6,,,,
2025-11-17 23:00:00+00:00,1,547,508,26,13,39,7.13,2026-05-13 13:23:40.638970+00:00,2026-05-13 13:23:40.638970+00:00,1183,SF-SPI-L01-01,7.460000000000001,7.460000000000001,0.5102940328869225,7.96,0.23999999999999796,,0,7.460000000000001,,-0.33000000000000096,
2025-11-18 23:00:00+00:00,1,672,623,34,15,49,7.29,2026-05-13 13:23:40.638970+00:00,2026-05-13 13:23:40.638970+00:00,2,SF-SPI-L01-01,7.3775,7.343333333333334,0.4481350242951334,7.13,-0.0030000000000006905,,1,7.3775,,-0.08750000000000036,
2025-11-19 23:00:00+00:00,1,728,663,41,24,65,8.93,2026-05-13 13:23:40.638970+00:00,2026-05-13 13:23:40.638970+00:00,91,SF-SPI-L01-01,7.359999999999999,7.46,0.3900640972968416,7.29,-0.019000000000000294,,2,7.359999999999999,,1.5700000000000003,
2025-11-20 23:00:00+00:00,1,899,836,31,32,63,7.01,2026-05-13 13:23:40.638970+00:00,2026-05-13 13:23:40.638970+00:00,185,SF-SPI-L01-01,7.621666666666667,7.783333333333334,0.7297510991198755,8.93,0.2134285714285713,,3,7.621666666666667,,-0.6116666666666672,
2025-11-23 23:00:00+00:00,1,498,452,31,15,46,9.24,2026-05-13 13:23:40.638970+00:00,2026-05-13 13:23:40.638970+00:00,767,SF-SPI-L01-01,7.534285714285715,7.743333333333333,0.7051443621192551,7.01,0.06785714285714302,,6,7.534285714285715,,1.7057142857142855,
2025-11-24 23:00:00+00:00,1,1352,1250,50,52,102,7.54,2026-05-13 13:23:40.638970+00:00,2026-05-13 13:23:40.638970+00:00,71,SF-SPI-L01-01,7.785714285714286,8.393333333333333,0.9528353677814639,9.24,0.24285714285714297,,0,7.785714285714286,,-0.24571428571428555,
2025-11-25 23:00:00+00:00,1,775,717,38,20,58,7.48,2026-05-13 13:23:40.638970+00:00,2026-05-13 13:23:40.638970+00:00,504,SF-SPI-L01-01,7.871428571428572,7.93,0.8889212295704001,7.54,0.09571428571428615,,1,7.871428571428572,,-0.39142857142857146,
2025-11-26 23:00:00+00:00,1,934,850,53,31,84,8.99,2026-05-13 13:23:40.638970+00:00,2026-05-13 13:23:40.638970+00:00,1048,SF-SPI-L01-01,7.8028571428571425,8.086666666666668,0.8994019176785254,7.48,0.06642857142857192,,2,7.8028571428571425,8.09600455704222,1.1871428571428577,0.893995442957781
2025-11-27 23:00:00+00:00,1,995,923,42,30,72,7.24,2026-05-13 13:23:40.638970+00:00,2026-05-13 13:23:40.638970+00:00,721,SF-SPI-L01-01,8.06857142857143,8.003333333333334,0.9412656120250816,8.99,0.09750000000000046,,3,8.06857142857143,8.493090830611848,-0.8285714285714292,-1.253090830611848
2025-11-30 23:00:00+00:00,1,1154,1064,61,29,90,7.8,2026-05-13 13:23:40.638970+00:00,2026-05-13 13:23:40.638970+00:00,1275,SF-SPI-L01-01,8.061428571428571,7.903333333333333,0.948321826024417,7.24,-0.10249999999999969,,6,8.061428571428571,8.188030143932062,-0.26142857142857157,-0.38803014393206237
2025-12-01 23:00:00+00:00,1,381,340,25,16,41,10.76,2026-05-13 13:23:40.638970+00:00,2026-05-13 13:23:40.638970+00:00,1040,SF-SPI-L01-01,7.8999999999999995,8.01,0.8686579687464253,7.8,-0.006428571428570856,,0,7.8999999999999995,8.133076759034445,2.8600000000000003,2.6269232409655547
2025-12-02 23:00:00+00:00,1,1027,940,59,28,87,8.47,2026-05-13 13:23:40.638970+00:00,2026-05-13 13:23:40.638970+00:00,639,SF-SPI-L01-01,8.435714285714285,8.6,1.2849105953704467,10.76,0.17285714285714288,,1,8.435714285714285,8.93527463768774,0.034285714285715585,-0.4652746376877399
2025-12-03 23:00:00+00:00,1,746,686,41,19,60,8.04,2026-05-13 13:23:40.638970+00:00,2026-05-13 13:23:40.638970+00:00,350,SF-SPI-L01-01,8.325714285714287,9.01,1.236633294377077,8.47,0.2914285714285721,,2,8.325714285714287,8.937904584440375,-0.28571428571428825,-0.8979045844403757
2025-12-04 23:00:00+00:00,1,1085,972,72,41,113,10.41,2026-05-13 13:23:40.638970+00:00,2026-05-13 13:23:40.638970+00:00,519,SF-SPI-L01-01,8.397142857142857,9.090000000000002,1.1975073317202727,8.04,0.14857142857142883,,3,8.397142857142857,8.828499827931566,2.0128571428571433,1.5815001720684343
2025-12-07 23:00:00+00:00,1,954,892,38,24,62,6.5,2026-05-13 13:23:40.638970+00:00,2026-05-13 13:23:40.638970+00:00,685,SF-SPI-L01-01,8.815714285714286,8.973333333333334,1.328418321951047,10.41,0.23321428571428537,,6,8.815714285714286,9.295881796547505,-2.315714285714286,-2.795881796547505
2025-12-08 23:00:00+00:00,1,891,815,49,27,76,8.53,2026-05-13 13:23:40.638970+00:00,2026-05-13 13:23:40.638970+00:00,1007,SF-SPI-L01-01,8.459999999999999,8.316666666666668,1.5829613598147823,6.5,0.010000000000000302,,0,8.459999999999999,8.800849613907445,0.07000000000000028,-0.2708496139074459
2025-12-09 23:00:00+00:00,1,1362,1251,61,50,111,8.15,2026-05-13 13:23:40.638970+00:00,2026-05-13 13:23:40.638970+00:00,93,SF-SPI-L01-01,8.644285714285713,8.48,1.489595662619637,8.53,-0.15678571428571397,,1,8.644285714285713,8.82105268007818,-0.4942857142857129,-0.67105268007818
2025-12-10 23:00:00+00:00,1,633,586,30,17,47,7.42,2026-05-13 13:23:40.638970+00:00,2026-05-13 13:23:40.638970+00:00,980,SF-SPI-L01-01,8.694285714285714,7.726666666666667,1.4621543140500717,8.15,-0.3303571428571425,,2,8.694285714285714,8.759788285144133,-1.274285714285714,-1.3397882851441327
2025-12-11 23:00:00+00:00,1,945,854,56,35,91,9.63,2026-05-13 13:23:40.638970+00:00,2026-05-13 13:23:40.638970+00:00,883,SF-SPI-L01-01,8.217142857142857,8.033333333333333,1.1965466181991435,7.42,-0.17178571428571435,,3,8.217142857142857,8.567960797013923,1.4128571428571437,1.0620392029860781
